iter	RMSE
0	1.1042509
1	1.091471219
2	1.078932908
3	1.066904794
4	1.054421705
5	1.042727191
6	1.031191792
7	1.020578485
8	1.009182216
9	0.9977988354
10	0.9872576451
11	0.9764881927
12	0.9664270727
13	0.95711384
14	0.9471789622
15	0.9379204291
16	0.9284146104
17	0.9191535388
18	0.9105050812
19	0.9015110001
20	0.8930140489
21	0.8853853606
22	0.8771248116
23	0.8696793334
24	0.8619031225
25	0.8543363445
26	0.8474509536
27	0.8403521634
28	0.8333771887
29	0.826325683
30	0.8199165061
31	0.8132521649
32	0.8067838989
33	0.8005490789
34	0.794817148
35	0.7887967116
36	0.7831411067
37	0.7774644482
38	0.7723125287
39	0.7671174672
40	0.7621929308
41	0.7570521704
42	0.7524892856
43	0.7481927067
44	0.7434767924
45	0.7390462146
46	0.7341909798
47	0.7301627013
48	0.7258854169
49	0.7216383512
50	0.7175114683
51	0.7133268066
52	0.7097393147
53	0.7060524473
54	0.7021067979
55	0.6982924652
56	0.694966725
57	0.6913266669
58	0.6884293649
59	0.6849283473
60	0.6813153017
61	0.6783002245
62	0.6752554757
63	0.6720703238
64	0.6693862038
65	0.6661272148
66	0.6633924001
67	0.6607035927
68	0.6579790399
69	0.655232621
70	0.6528045826
71	0.6503088183
72	0.647848783
73	0.6450222415
74	0.6429075841
75	0.6404305078
76	0.6379585039
77	0.6357382158
78	0.6332560483
79	0.6311003209
80	0.629074025
81	0.6271567847
82	0.6253862967
83	0.623252465
84	0.6211964859
85	0.6194991324
86	0.6176397718
87	0.616147269
88	0.6142926862
89	0.6123355121
90	0.6105058959
91	0.6087890644
92	0.6070895301
93	0.6053667248
94	0.6039971977
95	0.6026274613
96	0.6010632651
97	0.5994040159
98	0.5979699012
99	0.5964022094
100	0.5950145314
101	0.5937872208
102	0.5922893637
103	0.5909693804
104	0.5897258474
105	0.5884683416
106	0.5873721111
107	0.5860739673
108	0.5846811154
109	0.5833486163
110	0.5820128388
111	0.5810136806
112	0.5799364404
113	0.5790430995
114	0.5778213902
115	0.5767556874
116	0.5755541138
117	0.574683977
118	0.5735301233
119	0.5726033087
120	0.5714625089
121	0.5704583227
122	0.5695823881
123	0.5687066533
124	0.5675473662
125	0.5664645616
126	0.5650538138
127	0.5643069672
128	0.5636645501
129	0.562571366
130	0.5616207338
131	0.5601475931
132	0.5591614797
133	0.5581655538
134	0.5572040035
135	0.556344323
136	0.5553997017
137	0.5543609931
138	0.5536287496
139	0.5525807988
140	0.551902723
141	0.5512479497
142	0.5504062421
143	0.5497869198
144	0.5491984863
145	0.5480908896
146	0.5472109826
147	0.5463946485
148	0.5457212696
149	0.5450056838
150	0.5443715186
151	0.5436762459
152	0.543146046
153	0.5423245016
154	0.5414145234
155	0.5409173008
156	0.5400169097
157	0.5395541391
158	0.5389278313
159	0.5382049706
160	0.5375587432
161	0.5369249799
162	0.536234044
163	0.5356321818
164	0.5348734227
165	0.5340908114
166	0.533438492
167	0.5327360839
168	0.5322292549
169	0.5315775461
170	0.5308933012
171	0.5302973023
172	0.5297023282
173	0.528933016
174	0.5284278183
175	0.5279512938
176	0.5271105396
177	0.526619671
178	0.525868875
179	0.5252805418
180	0.5244150694
181	0.5239673124
182	0.5233612341
183	0.522929882
184	0.5224921996
185	0.5221697279
186	0.5215361466
187	0.5211321515
188	0.5207854461
189	0.5197329955
190	0.5193224777
191	0.518842331
192	0.5184352883
193	0.5180534638
194	0.517725367
195	0.5172492847
196	0.5164950496
197	0.5160633591
198	0.5155203185
199	0.5149945621
200	0.5146361004
201	0.514279258
202	0.5139366785
203	0.5133845498
204	0.5129079928
205	0.512471378
206	0.511976842
207	0.5114888949
208	0.5112028958
