iter	Passed	Remaining
0	6	60582
1	12	61912
2	18	62209
3	24	61750
4	31	62110
5	37	61727
6	42	61127
7	48	60967
8	54	60762
9	60	60421
10	66	60616
11	72	60489
12	78	60494
13	84	60352
14	90	60356
15	96	60272
16	102	60357
17	108	60276
18	114	60291
19	120	60192
20	126	60248
21	133	60480
22	139	60544
23	145	60459
24	151	60374
25	157	60415
26	163	60236
27	169	60228
28	175	60203
29	180	60066
30	186	60129
31	192	60001
32	198	59980
33	204	59956
34	210	59937
35	216	59796
36	221	59690
37	227	59637
38	233	59604
39	239	59617
40	245	59565
41	251	59654
42	257	59596
43	263	59599
44	269	59532
45	275	59583
46	280	59498
47	286	59434
48	293	59539
49	298	59478
50	304	59444
51	310	59424
52	316	59441
53	322	59461
54	328	59371
55	334	59343
56	339	59264
57	345	59296
58	352	59350
59	357	59260
60	363	59209
61	369	59165
62	374	59134
63	380	59085
64	386	59054
65	393	59164
66	399	59162
67	404	59082
68	410	59061
69	416	59024
70	422	59043
71	427	58972
72	433	58920
73	438	58883
74	444	58882
75	450	58820
76	456	58793
77	461	58745
78	467	58700
79	473	58668
80	478	58617
81	484	58575
82	490	58572
83	495	58532
84	501	58506
85	507	58500
86	513	58501
87	519	58485
88	525	58464
89	530	58458
90	536	58449
91	542	58393
92	547	58354
93	553	58363
94	559	58334
95	568	58648
96	574	58627
97	580	58613
98	585	58565
99	591	58598
100	597	58579
101	603	58560
102	609	58544
103	615	58531
104	620	58501
105	626	58495
106	633	58554
107	638	58519
108	644	58478
109	650	58461
110	656	58485
111	663	58535
112	668	58526
113	674	58522
114	680	58532
115	686	58494
116	692	58468
117	698	58458
118	704	58483
119	709	58453
120	715	58438
121	721	58409
122	727	58408
123	733	58387
124	738	58353
125	744	58337
126	750	58326
127	755	58300
128	761	58261
129	767	58241
130	772	58203
131	778	58201
132	784	58186
133	790	58174
134	795	58139
135	801	58112
136	807	58103
137	812	58091
138	818	58074
139	824	58086
140	830	58050
141	836	58047
142	841	58018
143	847	57990
144	853	57993
145	858	57968
146	864	57965
147	870	57922
148	876	57931
149	881	57900
150	887	57868
151	893	57862
152	898	57830
153	904	57819
154	909	57796
155	915	57792
156	921	57765
157	927	57750
158	932	57731
159	938	57708
160	944	57701
161	949	57688
162	955	57677
163	961	57648
164	967	57660
165	972	57626
166	978	57615
167	984	57624
